MCH Institution Type,MCH Institution Type Name,Attribute Level,Attribute Type,Attribute Code,Filterable,Attribute Type Description,Attribute Code Description
63,Child Care Centers,Institution,Program Offered,Day Care,Yes,Indicates the type of institution.,"Provide mainly custodial care. Includes centers specializing in infant/toddler care or after-school care, centers for children with disabilities, as well as mainstream centers serving typical ages (2 to 5). Excludes family day care residences. For complete coverage, also include schools with child care services from the School (1) file."
63,Child Care Centers,Institution,Program Offered,Daycare and Preschool,Yes,Indicates the type of institution.,"Provide custodial care and school-readiness programs. May include one or more of the following: infant/toddler care, after-school care, care for children with disabilities, Head Start programs and Montessori Schools."
63,Child Care Centers,Institution,Program Offered,Preschool,Yes,Indicates the type of institution.,Provide a school-readiness program. Includes Head Start programs and Montessori Schools (see Child Care Specialty). For complete coverage also include schools with pre-kindergarten programs from the School (1) file.
63,Child Care Centers,Institution,Religious Affiliation,7th Day Adventist Schools,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with a 7th Day Adventist religious organization.
63,Child Care Centers,Institution,Religious Affiliation,Amish/Mennonite,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with an Amish/Mennonite religious organization.
63,Child Care Centers,Institution,Religious Affiliation,Catholic,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with a Catholic religious organization.
63,Child Care Centers,Institution,Religious Affiliation,Islamic,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with an Islamic religious organization.
63,Child Care Centers,Institution,Religious Affiliation,Jewish,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with a Jewish religious organization.
63,Child Care Centers,Institution,Religious Affiliation,Lutheran,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with a Lutheran religious organization.
63,Child Care Centers,Institution,Religious Affiliation,Other Christian,Yes,Indicates the religious affiliation of the institution.,"Institutions that are affiliated with Christian denominations other than Catholic, Lutheran, or 7th Day Adventist organizations."
63,Child Care Centers,Institution,Religious Affiliation,Other Religious Affiliation,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with a non-Christian denomination other than Jewish or Islamic religious organizations.
63,Child Care Centers,Institution,Religious Affiliation,Protestant,Yes,Indicates the religious affiliation of the institution.,Institutions that are affiliated with a Protestant religious organization.
63,Child Care Centers,Institution,SIC Code-Primary,Child Day Care Services,No,The Standard Industry Classification (SIC) code.,"The care of infants or children, or in providing prekindergarten education, where medical care or delinquency correction is not a major element."
63,Child Care Centers,Institution,Wealth Score,"1 - $84,876 or more",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is $84,876 or more."
63,Child Care Centers,Institution,Wealth Score,"10 - $32,187 or less",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is $32,187 or less."
63,Child Care Centers,Institution,Wealth Score,"2 - $70,265 - $84,875",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $70,265 - $84,875."
63,Child Care Centers,Institution,Wealth Score,"3 - $60,959 - $70,264",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $60,959 - $70,264."
63,Child Care Centers,Institution,Wealth Score,"4 - $54,521 - $60,958",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $54,521 - $60,958."
63,Child Care Centers,Institution,Wealth Score,"5 - $49,504 - $54,520",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $49,504 - $54,520."
63,Child Care Centers,Institution,Wealth Score,"6 - $45,190 - $49,503",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $45,190 - $49,503."
63,Child Care Centers,Institution,Wealth Score,"7 - $41,585 - $45,189",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $41,585 - $45,189."
63,Child Care Centers,Institution,Wealth Score,"8 - $37,435 - $41,584",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $37,435 - $41,584."
63,Child Care Centers,Institution,Wealth Score,"9 - $32,188 - $37,434",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $32,188 - $37,434."
63,Child Care Centers,Person,Person New-to-File Date,Person New-to-File Date,Yes,The date the person record was added to the MCH database.,The date the person record was added to the MCH database.
70,Healthcare Ownership,Institution,Alt Institution Name,Alt Institution Name,No,The full name of the institution.,The full name of the institution.
70,Healthcare Ownership,Institution,Alt Institution Name - DBA,Alt Institution Name - DBA,No,"The ""Doing Business As"" name of the institution. This name should be given priority over other names.","The ""Doing Business As"" name of the institution. This name should be given priority over other names."
70,Healthcare Ownership,Institution,Bed Count,Number of Beds,Yes,The number of beds licensed to the institution.,The total number of beds the organization is licensed to have.
70,Healthcare Ownership,Institution,Bed Size Code,"A - Very Large (10,000+)",No,A description value that identifies the range of licensed beds within the organization.,"An organization with more than 10,000+ licensed beds."
70,Healthcare Ownership,Institution,Bed Size Code,"B - Large (5,000-9,999)",No,A description value that identifies the range of licensed beds within the organization.,"An organization with 5,000-9,999 licensed beds."
70,Healthcare Ownership,Institution,Bed Size Code,"C - Medium (500-4,999)",No,A description value that identifies the range of licensed beds within the organization.,"An organization with 500-4,999 licensed beds."
70,Healthcare Ownership,Institution,Bed Size Code,D - Small (100-499),No,A description value that identifies the range of licensed beds within the organization.,An organization with 100-499 licensed beds.
70,Healthcare Ownership,Institution,Bed Size Code,E - Very Small (1-99),No,A description value that identifies the range of licensed beds within the organization.,An organization with 1-99 licensed beds.
70,Healthcare Ownership,Institution,Bed Size Code,F - Zero (0),No,A description value that identifies the range of licensed beds within the organization.,An organization with 0 licensed beds.
70,Healthcare Ownership,Institution,Bed Size Code,U - Unknown,No,A description value that identifies the range of licensed beds within the organization.,An organization with an unknown number of licensed beds.
70,Healthcare Ownership,Institution,CBSA Code,CBSA Code,No,The core based statistical area code of the institution.,The core based statistical area code of the institution.
70,Healthcare Ownership,Institution,Corporate Parent Type,Corporate Owner,Yes,Indicates the organization's ownership type.,A corporate owner is a legal entity serving as a corporate parent and establishes a purchasing affiliation with two or more healthcare delivery sites. It does not offer a continuum of healthcare.
70,Healthcare Ownership,Institution,Corporate Parent Type,Integrated Delivery Network (IDN),Yes,Indicates the organization's ownership type.,An IDN is a type of corporate parent offering a continuum of healthcare through services at acute and non-acute sites.
70,Healthcare Ownership,Institution,Corporate Parent Type,Owner Subsidiary,Yes,Indicates the organization's ownership type.,An owner subsidiary is a legal entity that serves as a corporate parent within a larger parent organization.
70,Healthcare Ownership,Institution,EHR System,No,Yes,An indicator for whether or not the hospital has an Electronic Health Record system.,The organization does not have an Electronic Health Record system.
70,Healthcare Ownership,Institution,EHR System,Unknown,Yes,An indicator for whether or not the hospital has an Electronic Health Record system.,It is unknown whether the organization has an Electronic Health Record system.
70,Healthcare Ownership,Institution,EHR System,Yes,Yes,An indicator for whether or not the hospital has an Electronic Health Record system.,The organization has an Electronic Health Record system.
70,Healthcare Ownership,Institution,Geo Precision 1,Approximate,No,Indicates the level of accuracy of the geo code.,The geocode is approximate.
70,Healthcare Ownership,Institution,Geo Precision 1,Geometric Center,No,Indicates the level of accuracy of the geo code.,The geocode is a geometric center based either on a street or region.
70,Healthcare Ownership,Institution,Geo Precision 1,Range Interpolated,No,Indicates the level of accuracy of the geo code.,The geocode reflects an approximation interpolated between two precise points.
70,Healthcare Ownership,Institution,Geo Precision 1,Rooftop,No,Indicates the level of accuracy of the geo code.,The returned geocode is precise down to street address.
70,Healthcare Ownership,Institution,Geo Precision 1,Unknown,No,Indicates the level of accuracy of the geo code.,The geocode is unknown.
70,Healthcare Ownership,Institution,Institution New-to-File Date,Institution New-to-File Date,Yes,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.
70,Healthcare Ownership,Institution,Latitude,Latitude,No,"The distance running north or south of the earth's equator, expressed in degrees and minutes.","The distance running north or south of the earth's equator, expressed in degrees and minutes."
70,Healthcare Ownership,Institution,Longitude,Longitude,No,"The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes.","The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes."
70,Healthcare Ownership,Institution,NAICS Code - Primary,"Corporate, Subsidiary, and Regional Managing Offices",No,The North American Industry Classification System code.,"Responsible for administering, overseeing, and managing other establishments of the company or enterprise. These establishments normally undertake the strategic or organizational planning and decision-making role of the company or enterprise."
70,Healthcare Ownership,Institution,NPI Available - Institution,No,Yes,Indicates whether or not a National Provider Identifier is available for the organization.,Indicates that the NPI Number is available for the institution.
70,Healthcare Ownership,Institution,NPI Available - Institution,Yes,Yes,Indicates whether or not a National Provider Identifier is available for the organization.,Indicates that the NPI Number is available for the institution.
70,Healthcare Ownership,Institution,NPI Number - Institution,NPI Number - Institution,Yes,"A unique 10-digit identification number issued to health care organizations in the United States by the Centers for Medicare and Medicaid Services (CMS). The NPI has replaced the unique provider identification number (UPIN) as the required identifier for Medicare services, and is used by other payers, including commercial healthcare insurers.","A unique 10-digit identification number issued to health care providers in the United States by the Centers for Medicare and Medicaid Services (CMS). The NPI has replaced the unique provider identification number (UPIN) as the required identifier for Medicare services, and is used by other payers, including commercial healthcare insurers."
70,Healthcare Ownership,Institution,Owner Specialization,Aesthetics,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in aesthetics.
70,Healthcare Ownership,Institution,Owner Specialization,Cardiovascular and Vascular Medicine,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in cardiovascular and vascular medicine.
70,Healthcare Ownership,Institution,Owner Specialization,Dental,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in dentistry.
70,Healthcare Ownership,Institution,Owner Specialization,Dialysis,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in dialysis.
70,Healthcare Ownership,Institution,Owner Specialization,Digestive Health,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in digestive health.
70,Healthcare Ownership,Institution,Owner Specialization,"ENT, Head and Neck",Yes,Indicates a specialization of the ownership group.,"The ownership group specializes in areas of the ears, nose, throat, head, and neck."
70,Healthcare Ownership,Institution,Owner Specialization,Eyecare,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in eyecare.
70,Healthcare Ownership,Institution,Owner Specialization,Foot and Ankle,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in the foot and ankle areas of the body.
70,Healthcare Ownership,Institution,Owner Specialization,Home Health,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in home health.
70,Healthcare Ownership,Institution,Owner Specialization,Laboratory,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in medical laboratories.
70,Healthcare Ownership,Institution,Owner Specialization,Manufacturing,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in medical manufacturing.
70,Healthcare Ownership,Institution,Owner Specialization,Neurologic Medicine,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in neurologic medicine.
70,Healthcare Ownership,Institution,Owner Specialization,Oncology,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in oncology.
70,Healthcare Ownership,Institution,Owner Specialization,Orthopedic and Sports Medicine,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in orthopedic and sports medicine.
70,Healthcare Ownership,Institution,Owner Specialization,Outpatient Surgery Center,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in outpatient surgery.
70,Healthcare Ownership,Institution,Owner Specialization,Pain Management,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in pain management.
70,Healthcare Ownership,Institution,Owner Specialization,Pharmacy,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in pharmaceutical distribution.
70,Healthcare Ownership,Institution,Owner Specialization,Physical Medicine and Rehabilitation,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in physical medicine and rehabilitation.
70,Healthcare Ownership,Institution,Owner Specialization,Plastic Surgery,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in plastic surgery.
70,Healthcare Ownership,Institution,Owner Specialization,Reproductive Health,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in reproductive health.
70,Healthcare Ownership,Institution,Owner Specialization,Residential,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in residential care.
70,Healthcare Ownership,Institution,Owner Specialization,Unknown,Yes,Indicates a specialization of the ownership group.,It is unknown if the ownership group specializes in a particular area.
70,Healthcare Ownership,Institution,Owner Specialization,Veterinary,Yes,Indicates a specialization of the ownership group.,The ownership group specializes in veterinary medicine.
70,Healthcare Ownership,Institution,Physician Count,Physician Count,Yes,The number of physicians at the institution.,The number of physicians at the institution.
70,Healthcare Ownership,Institution,Physician Size Code,"A - Very Large (10,000+)",No,A description value that identifies the range of number of physicians within the organization.,"An organization with 10,000+ physicians."
70,Healthcare Ownership,Institution,Physician Size Code,"B - Large (1,000-9,999)",No,A description value that identifies the range of number of physicians within the organization.,"An organization with 1,000-9,999 physicians."
70,Healthcare Ownership,Institution,Physician Size Code,C - Medium (100-999),No,A description value that identifies the range of number of physicians within the organization.,An organization with 100-999 physicians.
70,Healthcare Ownership,Institution,Physician Size Code,D - Small (10-99),No,A description value that identifies the range of number of physicians within the organization.,An organization with 10-99 physicians.
70,Healthcare Ownership,Institution,Physician Size Code,E - Very Small (1-9),No,A description value that identifies the range of number of physicians within the organization.,An organization with 1-9 physicians.
70,Healthcare Ownership,Institution,Physician Size Code,F - Zero (0),No,A description value that identifies the range of number of physicians within the organization.,An organization with no affiliated physicians.
70,Healthcare Ownership,Institution,Physician Size Code,U - Unknown,No,A description value that identifies the range of number of physicians within the organization.,An organization with an unknown number of physicians.
70,Healthcare Ownership,Institution,Provider Count,Provider Count,Yes,"The number of providers at the institution. A provider is a person such as a doctor, physician assistant, or nurse practitioner licensed by the state to perform specified health services.",The number of providers at the institution.
70,Healthcare Ownership,Institution,Provider Size Code,"A - Very Large (10,000+)",No,A description value that identifies the range of number of providers within the organization.,"An organization with 10,000+ providers."
70,Healthcare Ownership,Institution,Provider Size Code,"B - Large (1,000-9,999)",No,A description value that identifies the range of number of providers within the organization.,"An organization with 1,000-9,999 providers."
70,Healthcare Ownership,Institution,Provider Size Code,C - Medium (100-999),No,A description value that identifies the range of number of providers within the organization.,An organization with 100-999 providers.
70,Healthcare Ownership,Institution,Provider Size Code,D - Small (10-99),No,A description value that identifies the range of number of providers within the organization.,An organization with 10-99 providers.
70,Healthcare Ownership,Institution,Provider Size Code,E - Very Small (1-9),No,A description value that identifies the range of number of providers within the organization.,An organization with 1-9 providers.
70,Healthcare Ownership,Institution,Provider Size Code,U - Unknown,No,A description value that identifies the range of number of providers within the organization.,An organization with an unknown number of providers.
70,Healthcare Ownership,Institution,SIC Code - Primary,"Health and Allied Services, NEC",No,The Standard Industry Classification (SIC) code.,"Establishments primarily engaged in providing health and allied services, not elsewhere classified."
70,Healthcare Ownership,Person,Certification Type,Advanced Nurse,No,The type of certification held by the contact person.,Holds an Advanced Nursing certification.
70,Healthcare Ownership,Person,Certification Type,Anesthesia Assistant,No,The type of certification held by the contact person.,Holds an Anesthesia Assistant certification.
70,Healthcare Ownership,Person,Certification Type,Audiologist,No,The type of certification held by the contact person.,Hold an Audiologist certification.
70,Healthcare Ownership,Person,Certification Type,Certified Nurse Anesthetist,No,The type of certification held by the contact person.,Holds a Certified Nurse Anesthetist certification.
70,Healthcare Ownership,Person,Certification Type,Chiropractor,No,The type of certification held by the contact person.,Holds a Chiropractic certification.
70,Healthcare Ownership,Person,Certification Type,Clinical Nurse Specialist,No,The type of certification held by the contact person.,Holds a Clinical Nurse Specialist certification.
70,Healthcare Ownership,Person,Certification Type,Doctor of Dental Surgery (DDS),No,The type of certification held by the contact person.,Holds a Doctor of Dental Surgery certification.
70,Healthcare Ownership,Person,Certification Type,Doctor of Optometry,No,The type of certification held by the contact person.,Holds a Doctor of Optometry certification.
70,Healthcare Ownership,Person,Certification Type,Doctor of Osteopathic Medicine (DO),No,The type of certification held by the contact person.,Holds a Doctor of Osteopathic Medicine certification.
70,Healthcare Ownership,Person,Certification Type,Doctor of Podiatric Medicine,No,The type of certification held by the contact person.,Holds a Doctor of Podiatric Medicine certification.
70,Healthcare Ownership,Person,Certification Type,Licensed Esthetician,No,The type of certification held by the contact person.,Holds a Licensed Esthetician certification.
70,Healthcare Ownership,Person,Certification Type,Licensed Practical Nurse (LPN),No,The type of certification held by the contact person.,Holds a Licensed Practical Nurse certification.
70,Healthcare Ownership,Person,Certification Type,Medical Doctor (MD),No,The type of certification held by the contact person.,Holds a Medical Doctor certification.
70,Healthcare Ownership,Person,Certification Type,Naturopathic Doctor,No,The type of certification held by the contact person.,Holds a Naturopathic Doctor certification.
70,Healthcare Ownership,Person,Certification Type,Nurse Midwife,No,The type of certification held by the contact person.,Holds a Nurse Midwife certification.
70,Healthcare Ownership,Person,Certification Type,Nurse Practitioner (NP),No,The type of certification held by the contact person.,Holds a Nurse Practitioner certification.
70,Healthcare Ownership,Person,Certification Type,Pharmacist,No,The type of certification held by the contact person.,Holds a Pharmacist certification.
70,Healthcare Ownership,Person,Certification Type,Pharmacist Intern,No,The type of certification held by the contact person.,Holds a Pharmacist Internship certification.
70,Healthcare Ownership,Person,Certification Type,Pharmacy Technician,No,The type of certification held by the contact person.,Holds a Pharmacy Technician certification.
70,Healthcare Ownership,Person,Certification Type,Physician Assistant (PA),No,The type of certification held by the contact person.,Holds a Physician Assistant certification.
70,Healthcare Ownership,Person,Certification Type,Psychologist,No,The type of certification held by the contact person.,Holds a Psychologist certification.
70,Healthcare Ownership,Person,Certification Type,Registered Nurse (RN),No,The type of certification held by the contact person.,Holds a Registered Nurse certification.
70,Healthcare Ownership,Person,Certification Type,Social Worker,No,The type of certification held by the contact person.,Holds a Social Worker certification.
70,Healthcare Ownership,Person,Certification Type,Veterinary Medical Doctor,No,The type of certification held by the contact person.,Holds a Veterinary Medical Doctor certification.
70,Healthcare Ownership,Person,DEA Expiration Date,DEA Expiration Date,No,The date the DEA number is set to expire.,The date the DEA number is set to expire.
70,Healthcare Ownership,Person,DEA Number,DEA Number,No,The DEA number of the provider.,The DEA Number of the provider.
70,Healthcare Ownership,Person,DEA Number Available,No,No,Indicates whether or not a DEA number is available for the provider.,A DEA number is not available for the provider.
70,Healthcare Ownership,Person,DEA Number Available,Yes,No,Indicates whether or not a DEA number is available for the provider.,A DEA number is available for the provider.
70,Healthcare Ownership,Person,Medicare Participation,No,Yes,Indicates whether or not the provider participates in Medicare.,The provider does not participate in the Medicare program.
70,Healthcare Ownership,Person,Medicare Participation,Yes,Yes,Indicates whether or not the provider participates in Medicare.,The provider participates in the Medicare program.
70,Healthcare Ownership,Person,NPI Available - Person,No,Yes,Indicates whether or not a National Provider Identifier is available for the provider.,A National Provider Identifier is not available for the provider.
70,Healthcare Ownership,Person,NPI Available - Person,Yes,Yes,Indicates whether or not a National Provider Identifier is available for the provider.,A National Provider Identifier is available for the provider.
70,Healthcare Ownership,Person,NPI Number,NPI - Person,Yes,"A unique 10-digit identification number issued to health care providers in the United States by the Centers for Medicare and Medicaid Services (CMS). The National Provider Identifier is a required identifier for Medicare services, and is used by other payers, including commercial healthcare insurers.",The provider's NPI number.
70,Healthcare Ownership,Person,Person New-to-File Date,Person New-to-File Date,Yes,The date the person record was added to the MCH database.,The date the person record was added to the MCH database.
70,Healthcare Ownership,Person,Primary Location,No,Yes,Indicates whether or not this is the main location where the provider works.,Indicates this is not the main location the provider works.
70,Healthcare Ownership,Person,Primary Location,Yes,Yes,Indicates whether or not this is the main location where the provider works.,Indicates this is the main location the provider works.
70,Healthcare Ownership,Person,Primary Profession,Alternative Medicine,Yes,Indicates the primary profession of the person.,The primary profession of the person is alternative medicine.
70,Healthcare Ownership,Person,Primary Profession,Audiologist,Yes,Indicates the primary profession of the person.,The primary profession of the person is an audiologist.
70,Healthcare Ownership,Person,Primary Profession,Chiropractor,Yes,Indicates the primary profession of the person.,The primary profession of the person is a chiropractor.
70,Healthcare Ownership,Person,Primary Profession,Cosmetologist,Yes,Indicates the primary profession of the person.,The primary profession of the person is in cosmetology.
70,Healthcare Ownership,Person,Primary Profession,Counselor,Yes,Indicates the primary profession of the person.,The primary profession of the person is a counselor.
70,Healthcare Ownership,Person,Primary Profession,Dentist,Yes,Indicates the primary profession of the person.,The primary profession of the person is a dentist.
70,Healthcare Ownership,Person,Primary Profession,Dietician,Yes,Indicates the primary profession of the person.,The primary profession of the person is a dietician / nutritionist.
70,Healthcare Ownership,Person,Primary Profession,Doctor of Osteopathy,Yes,Indicates the primary profession of the person.,The primary profession of the person is a Doctor of Osteopathy.
70,Healthcare Ownership,Person,Primary Profession,Healthcare Administrator,Yes,Indicates the primary profession of the person.,The primary profession of the person is a healthcare administrator.
70,Healthcare Ownership,Person,Primary Profession,Medical Doctor,Yes,Indicates the primary profession of the person.,The primary profession of the person is a medical doctor.
70,Healthcare Ownership,Person,Primary Profession,Naturopathic Doctor,Yes,Indicates the primary profession of the person.,The primary profession of the person is a naturopathic doctor.
70,Healthcare Ownership,Person,Primary Profession,Nurse,Yes,Indicates the primary profession of the person.,The primary profession of the person is a nurse.
70,Healthcare Ownership,Person,Primary Profession,Occupational Therapist,Yes,Indicates the primary profession of the person.,The primary profession of the person is an occupational therapist.
70,Healthcare Ownership,Person,Primary Profession,Operating or Surgical Assistant,No,Indicates the primary profession of the person.,The primary profession of the person is an operating or surgical assistant.
70,Healthcare Ownership,Person,Primary Profession,Optometrist,Yes,Indicates the primary profession of the person.,The primary profession of the person is an optometrist.
70,Healthcare Ownership,Person,Primary Profession,Pharmacist,Yes,Indicates the primary profession of the person.,The primary profession of the person is a pharmacist.
70,Healthcare Ownership,Person,Primary Profession,Physical Therapist,Yes,Indicates the primary profession of the person.,The primary profession of the person is a physical therapist.
70,Healthcare Ownership,Person,Primary Profession,Physician Assistant,Yes,Indicates the primary profession of the person.,The primary profession of the person is a physician assistant.
70,Healthcare Ownership,Person,Primary Profession,Podiatrist,Yes,Indicates the primary profession of the person.,The primary profession of the person is a podiatrist.
70,Healthcare Ownership,Person,Primary Profession,Psychologist,Yes,Indicates the primary profession of the person.,The primary profession of the person is psychologist.
70,Healthcare Ownership,Person,Primary Profession,Social Worker,Yes,Indicates the primary profession of the person.,The primary profession of the person is a social worker.
70,Healthcare Ownership,Person,Primary Profession,Technician,No,Indicates the primary profession of the person.,The primary profession of the person is a technician/technologist.
70,Healthcare Ownership,Person,Primary Profession,Veterinarian,Yes,Indicates the primary profession of the person.,The primary profession of the person is a veterinarian.
70,Healthcare Ownership,Person,State License Number,State License Number,Yes,The state license number of the provider.,The state license number of the provider.
70,Healthcare Ownership,Person,State License Number Available,No,Yes,Indicates whether or not the contact person has a state license number available.,The provider does not have a state license number available.
70,Healthcare Ownership,Person,State License Number Available,Yes,Yes,Indicates whether or not the contact person has a state license number available.,The provider has a state license number available.
70,Healthcare Ownership,Person,State Licensed,State Licensed,No,The state the provider is licensed.,The state the provider is licensed.
71,Hospital,Institution,Alt Institution Name,Alt Institution Name,No,The full name of the institution.,The full name of the institution.
71,Hospital,Institution,Alt Institution Name - DBA,Alt Institution Name - DBA,No,"The ""Doing Business As"" name of the institution. This name should be given priority over other names.","The ""Doing Business As"" name of the institution. This name should be given priority over other names."
71,Hospital,Institution,Bed Count,Number of Beds,Yes,The number of beds licensed to the institution.,The total number of beds the organization is licensed to have.
71,Hospital,Institution,Bed Size Code,A - Very Large (400+),No,A description value that identifies the range of licensed beds for the institution.,A hospital licensed to care for 400+ patients.
71,Hospital,Institution,Bed Size Code,B - Large (200-399),No,A description value that identifies the range of licensed beds for the institution.,A hospital licensed to care for 200-399 patients.
71,Hospital,Institution,Bed Size Code,C - Medium (100-199),No,A description value that identifies the range of licensed beds for the institution.,A hospital licensed to care for 100-199 patients.
71,Hospital,Institution,Bed Size Code,D - Small (50-99),No,A description value that identifies the range of licensed beds for the institution.,A hospital licensed to care for 50-99 patients.
71,Hospital,Institution,Bed Size Code,E - Very Small (1-49),No,A description value that identifies the range of licensed beds for the institution.,A hospital licensed to care for 1-49 patients.
71,Hospital,Institution,Bed Size Code,U - Unknown,No,A description value that identifies the range of licensed beds for the institution.,A hospital licensed to care for an unknown number of patients.
71,Hospital,Institution,CBSA Code,CBSA Code,No,The core based statistical area code of the institution.,The core based statistical area code of the institution.
71,Hospital,Institution,EHR System,No,Yes,An indicator for whether or not the hospital has an Electronic Health Record system.,The organization does not have an Electronic Health Record system.
71,Hospital,Institution,EHR System,Yes,Yes,An indicator for whether or not the hospital has an Electronic Health Record system.,The organization has an Electronic Health Record system.
71,Hospital,Institution,Geo Precision 1,Approximate,No,Indicates the level of accuracy of the geo code.,The geocode is approximate.
71,Hospital,Institution,Geo Precision 1,Geometric Center,No,Indicates the level of accuracy of the geo code.,The geocode is a geometric center based either on a street or region.
71,Hospital,Institution,Geo Precision 1,Range Interpolated,No,Indicates the level of accuracy of the geo code.,The geocode reflects an approximation interpolated between two precise points.
71,Hospital,Institution,Geo Precision 1,Rooftop,No,Indicates the level of accuracy of the geo code.,The returned geocode is precise down to street address.
71,Hospital,Institution,Geo Precision 1,Unknown,No,Indicates the level of accuracy of the geo code.,The geocode is unknown.
71,Hospital,Institution,Hospital Specialty,Cardiology,Yes,Indicates the specialty of the hospital.,A facility that is focused on providing diagnosis and treatment of cardiovascular disorders.
71,Hospital,Institution,Hospital Specialty,Critical Access,Yes,Indicates the specialty of the hospital.,A rural limited-service hospital that has been converted to a special designation as a Critical Access Hospital under the Medicare Rural Hospital Flexibility Grant Program. The majority of CAH's are in Health Professional Shortage Areas and/or Medically Underserved Areas.
71,Hospital,Institution,Hospital Specialty,Eye and Ear,Yes,Indicates the specialty of the hospital.,A facility with a staff that specializes in treatment of eye and ear disorders.
71,Hospital,Institution,Hospital Specialty,General Acute,Yes,Indicates the specialty of the hospital.,A facility providing 24-hour inpatient care to patients for both surgical and non-surgical conditions which normally allow the patient to return to normal or previous levels of activity.
71,Hospital,Institution,Hospital Specialty,Long-Term Acute Care,Yes,Indicates the specialty of the hospital.,A specialty care hospital designed for extended stay patients with chronic conditions.
71,Hospital,Institution,Hospital Specialty,Oncology,Yes,Indicates the specialty of the hospital.,A facility that provides diagnosis and treatment for patients with cancer.
71,Hospital,Institution,Hospital Specialty,Ophthalmology,Yes,Indicates the specialty of the hospital.,A facility that specializes in comprehensive eye and vision care.
71,Hospital,Institution,Hospital Specialty,Orthopedics,Yes,Indicates the specialty of the hospital.,"A facility that specializes in the diagnosis, treatment, and repair of disorders involving the bones, joints, and muscles."
71,Hospital,Institution,Hospital Specialty,Pediatric,Yes,Indicates the specialty of the hospital.,A facility that specializes in the treatment of pediatric patients.
71,Hospital,Institution,Hospital Specialty,Psychiatric,Yes,Indicates the specialty of the hospital.,A facility that specializes in the treatment of mental and emotional disorders.
71,Hospital,Institution,Hospital Specialty,Rehabilitation,Yes,Indicates the specialty of the hospital.,A facility that provides diagnostic and treatment services to handicapped or disabled individuals requiring rehabilitation. Can also provide care for chronically ill patients.
71,Hospital,Institution,Hospital Specialty,Surgical,Yes,Indicates the specialty of the hospital.,A facility that specializes in surgical procedures.
71,Hospital,Institution,Hospital Type,Acute Care,Yes,The main type of patients admitted to the hospital.,A type of facility where a patient is treated for a condition requiring a brief hospital stay for a severe illness or injury.
